id,therapist_name,gender,modality,language,available_days,mode,experience_years,specialties
53,Dr. Getachew Ali,Female,Solution-Focused Brief Therapy (SFBT),['English'],"['Monday', 'Sunday', 'Friday', 'Wednesday', 'Tuesday']","['Audio', 'Video']",8,"['Relationships', 'Trauma', 'ADHD']"
54,Dr. Girma Ahmed,Female,Mindfulness-Based Cognitive Therapy (MBCT),['English'],"['Wednesday', 'Thursday', 'Tuesday', 'Monday', 'Sunday']","['Video', 'Audio']",3,"['Relationships', 'Eating Disorders', 'Grief and Loss']"
55,Dr. Habtamu Hassen,Female,Interpersonal Psychotherapy (IPT),['Amharic'],"['Tuesday', 'Saturday', 'Sunday', 'Monday', 'Friday']","['Audio', 'Video']",4,"['Academic Burnout', 'Relationships', 'Financial Stress']"
56,Dr. Hagos Abdullahi,Male,Adlerian Therapy,['English'],"['Wednesday', 'Thursday', 'Sunday', 'Saturday', 'Friday']","['Audio', 'Video']",18,"['Interpersonal Violence', 'Depression', 'Family Conflict']"
57,Dr. Hailu Ibrahim,Female,Humanistic Therapy,['Oromo'],"['Tuesday', 'Wednesday', 'Friday', 'Monday', 'Saturday']","['Video', 'Audio']",5,"['Financial Stress', 'Anxiety', 'Social Anxiety']"
58,Dr. Hana Gebre,Male,Adlerian Therapy,['Oromo'],"['Thursday', 'Monday', 'Sunday', 'Friday', 'Wednesday']","['Video', 'Audio']",5,"['Anxiety', 'Interpersonal Violence', 'Mood Disorders']"
59,Dr. Hassen Mekonnen,Male,Cognitive Therapy,['Amharic'],"['Wednesday', 'Sunday', 'Tuesday', 'Thursday', 'Saturday']","['Video', 'Audio']",12,"['Test Anxiety', 'Relationships', 'Depression']"
60,Dr. Hiwot Abebe,Male,Schema Therapy,['Amharic'],"['Monday', 'Thursday', 'Saturday', 'Friday', 'Tuesday']","['Audio', 'Video']",16,"['Interpersonal Violence', 'Mood Disorders', 'Relationships']"
61,Dr. Ibrahim Kebede,Female,Cognitive Behavioral Therapy (CBT),['Oromo'],"['Sunday', 'Monday', 'Wednesday', 'Saturday', 'Friday']","['Audio', 'Video']",2,"['Loneliness', 'Anxiety', 'Grief and Loss']"
62,Dr. Jemal Demissie,Female,Solution-Focused Brief Therapy (SFBT),['Tigrinya'],"['Sunday', 'Tuesday', 'Thursday', 'Saturday', 'Monday']","['Audio', 'Video']",10,"['Stress', 'ADHD', 'Adjustment Disorders']"
63,Dr. Kalkidan Worku,Female,Transactional Analysis (TA),['Tigrinya'],"['Saturday', 'Thursday', 'Wednesday', 'Monday', 'Tuesday']","['Audio', 'Video']",18,"['PTSD', 'Loneliness', 'Social Anxiety']"
64,Dr. Kassa Girma,Female,Psychoanalysis,['English'],"['Tuesday', 'Friday', 'Saturday', 'Monday', 'Thursday']","['Audio', 'Video']",13,"['Self-Esteem Issues', 'Somatic Complaints', 'Cultural Identity Stress']"
65,Dr. Kebede Tesfaye,Male,Existential Psychotherapy,['English'],"['Wednesday', 'Tuesday', 'Friday', 'Thursday', 'Monday']","['Audio', 'Video']",12,"['Relationships', 'OCD', 'Suicidal Ideation']"
66,Dr. Kedir Hailu,Male,Mindfulness-Based Cognitive Therapy (MBCT),['Tigrinya'],"['Wednesday', 'Friday', 'Saturday', 'Tuesday', 'Monday']","['Video', 'Audio']",1,"['Self-Esteem Issues', 'Anxiety', 'Self-Esteem Issues']"
67,Dr. Lelisa Fekadu,Female,Psychodynamic Psychotherapy,['English'],"['Friday', 'Sunday', 'Wednesday', 'Saturday', 'Thursday']","['Video', 'Audio']",18,"['Grief and Loss', 'Depression', 'Mood Disorders']"
68,Dr. Lemlem Assefa,Male,Emotionally Focused Therapy (EFT),['Amharic'],"['Monday', 'Thursday', 'Saturday', 'Friday', 'Tuesday']","['Video', 'Audio']",16,"['Relationships', 'Interpersonal Violence', 'Depression']"
69,Dr. Lidya Getachew,Male,Transactional Analysis (TA),['English'],"['Saturday', 'Monday', 'Sunday', 'Wednesday', 'Friday']","['Audio', 'Video']",12,"['Self-Esteem Issues', 'Social Anxiety', 'Grief and Loss']"
70,Dr. Mamo Berhanu,Male,Person-Centred Therapy,['Amharic'],"['Thursday', 'Friday', 'Saturday', 'Tuesday', 'Monday']","['Video', 'Audio']",4,"['Relationships', 'Eating Disorders', 'Relationships']"
71,Dr. Marta Mohammed,Male,Cognitive Analytic Therapy (CAT),['English'],"['Wednesday', 'Friday', 'Thursday', 'Monday', 'Saturday']","['Video', 'Audio']",2,"['ADHD', 'Eating Disorders', 'Loneliness']"
72,Dr. Mehari Tadesse,Male,Interpersonal Psychotherapy (IPT),['English'],"['Saturday', 'Sunday', 'Wednesday', 'Thursday', 'Monday']","['Audio', 'Video']",17,"['Cultural Identity Stress', 'Eating Disorders', 'Self-Esteem Issues']"
73,Dr. Melaku Ali,Female,Person-Centred Therapy,['Oromo'],"['Thursday', 'Friday', 'Wednesday', 'Monday', 'Saturday']","['Audio', 'Video']",5,"['Academic Burnout', 'Substance Use', 'Substance Use']"
74,Dr. Mesfin Ahmed,Male,Cognitive Therapy,['Oromo'],"['Wednesday', 'Monday', 'Saturday', 'Thursday', 'Sunday']","['Video', 'Audio']",2,"['Social Anxiety', 'Substance Use', 'Loneliness']"
75,Dr. Mihret Hassen,Female,Existential Psychotherapy,['Amharic'],"['Tuesday', 'Monday', 'Saturday', 'Wednesday', 'Friday']","['Audio', 'Video']",15,"['Cultural Identity Stress', 'Grief and Loss', 'Trauma']"
76,Dr. Mohammed Abdullahi,Female,Mindfulness-Based Cognitive Therapy (MBCT),['Amharic'],"['Wednesday', 'Thursday', 'Tuesday', 'Sunday', 'Saturday']","['Video', 'Audio']",17,"['Grief and Loss', 'Stress', 'PTSD']"
77,Dr. Mulatu Ibrahim,Female,Acceptance and Commitment Therapy (ACT),['Amharic'],"['Thursday', 'Friday', 'Sunday', 'Monday', 'Tuesday']","['Video', 'Audio']",19,"['BPD', 'Sleep Disorders', 'Somatic Complaints']"
78,Dr. Mulugeta Gebre,Male,Humanistic Therapy,['Tigrinya'],"['Saturday', 'Wednesday', 'Sunday', 'Thursday', 'Monday']","['Audio', 'Video']",8,"['Family Conflict', 'Substance Use', 'Grief and Loss']"
79,Dr. Netsanet Mekonnen,Male,Acceptance and Commitment Therapy (ACT),['Amharic'],"['Saturday', 'Tuesday', 'Sunday', 'Monday', 'Thursday']","['Video', 'Audio']",16,"['Anxiety', 'Loneliness', 'Self-Esteem Issues']"
80,Dr. Rahel Abebe,Female,Solution-Focused Brief Therapy (SFBT),['Amharic'],"['Thursday', 'Sunday', 'Saturday', 'Friday', 'Monday']","['Audio', 'Video']",3,"['Trauma', 'Panic Disorders', 'ADHD']"
81,Dr. Ruth Kebede,Female,Cognitive Analytic Therapy (CAT),['English'],"['Thursday', 'Sunday', 'Wednesday', 'Saturday', 'Tuesday']","['Audio', 'Video']",6,"['Mood Disorders', 'Somatic Complaints', 'PTSD']"
82,Dr. Saba Demissie,Female,Cognitive Analytic Therapy (CAT),['Tigrinya'],"['Tuesday', 'Sunday', 'Saturday', 'Friday', 'Thursday']","['Video', 'Audio']",19,"['Grief and Loss', 'Panic Disorders', 'Anxiety']"
83,Dr. Samson Worku,Male,Jungian Therapy,['English'],"['Thursday', 'Wednesday', 'Monday', 'Saturday', 'Tuesday']","['Video', 'Audio']",2,"['Academic Burnout', 'Family Conflict', 'Test Anxiety']"
84,Dr. Seble Girma,Male,Cognitive Analytic Therapy (CAT),['Amharic'],"['Tuesday', 'Monday', 'Wednesday', 'Sunday', 'Friday']","['Video', 'Audio']",11,"['Financial Stress', 'Mood Disorders', 'Family Conflict']"
85,Dr. Selam Tesfaye,Male,Cognitive Behavioral Therapy (CBT),['English'],"['Sunday', 'Monday', 'Thursday', 'Saturday', 'Wednesday']","['Audio', 'Video']",17,"['Anxiety', 'Sleep Disorders', 'Academic Burnout']"
86,Dr. Senait Hailu,Male,Jungian Therapy,['Amharic'],"['Sunday', 'Monday', 'Saturday', 'Friday', 'Tuesday']","['Audio', 'Video']",2,"['Sleep Disorders', 'Cultural Identity Stress', 'Trauma']"
87,Dr. Sisay Fekadu,Male,Adlerian Therapy,['English'],"['Sunday', 'Friday', 'Wednesday', 'Tuesday', 'Saturday']","['Video', 'Audio']",8,"['Substance Use', 'Self-Esteem Issues', 'Somatic Complaints']"
88,Dr. Solomon Assefa,Female,Interpersonal Psychotherapy (IPT),['English'],"['Wednesday', 'Friday', 'Sunday', 'Tuesday', 'Saturday']","['Video', 'Audio']",8,"['Financial Stress', 'OCD', 'OCD']"
89,Dr. Tadesse Getachew,Female,Existential Psychotherapy,['English'],"['Monday', 'Tuesday', 'Saturday', 'Thursday', 'Wednesday']","['Video', 'Audio']",18,"['Trauma', 'Depression', 'ADHD']"
90,Dr. Tamirat Berhanu,Female,Schema Therapy,['Tigrinya'],"['Wednesday', 'Monday', 'Friday', 'Thursday', 'Saturday']","['Video', 'Audio']",6,"['Social Anxiety', 'Grief and Loss', 'Cultural Identity Stress']"
91,Dr. Tarekegn Mohammed,Female,Emotionally Focused Therapy (EFT),['Tigrinya'],"['Monday', 'Wednesday', 'Saturday', 'Friday', 'Thursday']","['Video', 'Audio']",12,"['Stress', 'Cultural Identity Stress', 'Depression']"
92,Dr. Tesfaye Tadesse,Male,Jungian Therapy,['Amharic'],"['Saturday', 'Wednesday', 'Tuesday', 'Thursday', 'Sunday']","['Audio', 'Video']",12,"['Substance Use', 'Mood Disorders', 'Generalized Anxiety Disorder (GAD)']"
93,Dr. Tewodros Ali,Female,Cognitive Therapy,['Amharic'],"['Friday', 'Wednesday', 'Sunday', 'Monday', 'Thursday']","['Video', 'Audio']",9,"['ADHD', 'Panic Disorders', 'Cultural Identity Stress']"
94,Dr. Tigist Ahmed,Female,Person-Centred Therapy,['Tigrinya'],"['Monday', 'Tuesday', 'Sunday', 'Saturday', 'Friday']","['Video', 'Audio']",18,"['Trauma', 'Depression', 'Social Anxiety']"
95,Dr. Wondimu Hassen,Male,Adlerian Therapy,['Oromo'],"['Wednesday', 'Thursday', 'Saturday', 'Monday', 'Sunday']","['Audio', 'Video']",5,"['Sleep Disorders', 'Social Anxiety', 'Somatic Complaints']"
96,Dr. Worku Abdullahi,Male,Mindfulness-Based Cognitive Therapy (MBCT),['Amharic'],"['Monday', 'Sunday', 'Saturday', 'Thursday', 'Friday']","['Video', 'Audio']",19,"['OCD', 'PTSD', 'Trauma']"
97,Dr. Yared Ibrahim,Male,Integrative Counselling,['Amharic'],"['Monday', 'Sunday', 'Saturday', 'Friday', 'Tuesday']","['Video', 'Audio']",4,"['Suicidal Ideation', 'Grief and Loss', 'Panic Disorders']"
98,Dr. Yonas Gebre,Male,Solution-Focused Brief Therapy (SFBT),['Amharic'],"['Saturday', 'Friday', 'Thursday', 'Tuesday', 'Sunday']","['Audio', 'Video']",14,"['Suicidal Ideation', 'Trauma', 'OCD']"
99,Dr. Zenebe Mekonnen,Female,Psychodynamic Psychotherapy,['Tigrinya'],"['Thursday', 'Wednesday', 'Sunday', 'Friday', 'Tuesday']","['Audio', 'Video']",7,"['Adjustment Disorders', 'Academic Burnout', 'Sleep Disorders']"
100,Dr. Saron Ashagrie,Male,Transactional Analysis (TA),['Amharic'],"['Friday', 'Sunday', 'Monday', 'Wednesday', 'Saturday']","['Audio', 'Video']",11,"['Family Conflict', 'Self-Esteem Issues', 'Anxiety']"
101,Dr. Abel Shiferaw,Female,Integrative Counselling,['Oromo'],"['Thursday', 'Tuesday', 'Monday', 'Saturday', 'Friday']","['Video', 'Audio']",15,"['Family Conflict', 'BPD', 'Trauma']"
102,Dr. Tsedey Asrat,Male,Existential Psychotherapy,['Oromo'],"['Thursday', 'Monday', 'Saturday', 'Wednesday', 'Friday']","['Video', 'Audio']",14,"['Depression', 'Sleep Disorders', 'Generalized Anxiety Disorder (GAD)']"
103,Dr. Wondimu Desta,Female,Existential Psychotherapy,['Tigrinya'],"['Sunday', 'Monday', 'Friday', 'Thursday', 'Wednesday']","['Video', 'Audio']",16,"['Financial Stress', 'Eating Disorders', 'Suicidal Ideation']"
104,Dr. Seblewongel Taye,Male,Psychoanalysis,['English'],"['Friday', 'Wednesday', 'Saturday', 'Tuesday', 'Thursday']","['Audio', 'Video']",8,"['Depression', 'Cultural Identity Stress', 'Cultural Identity Stress']"
105,Dr. Gashaw Bekele,Female,Psychodynamic Psychotherapy,['Amharic'],"['Sunday', 'Thursday', 'Friday', 'Monday', 'Saturday']","['Audio', 'Video']",1,"['BPD', 'Trauma', 'Family Conflict']"
106,Dr. Tsige Hailemichael,Female,Person-Centred Therapy,['Oromo'],"['Friday', 'Thursday', 'Sunday', 'Tuesday', 'Wednesday']","['Audio', 'Video']",13,"['Family Conflict', 'Trauma', 'Financial Stress']"
107,Dr. Mulugeta Gebremedhin,Male,Transactional Analysis (TA),['English'],"['Monday', 'Tuesday', 'Thursday', 'Saturday', 'Wednesday']","['Video', 'Audio']",4,"['Social Anxiety', 'Generalized Anxiety Disorder (GAD)', 'Relationships']"
108,Dr. Eden Solomon,Male,Dialectical Behavior Therapy (DBT),['Oromo'],"['Thursday', 'Wednesday', 'Tuesday', 'Friday', 'Monday']","['Audio', 'Video']",9,"['Suicidal Ideation', 'BPD', 'Adjustment Disorders']"
109,Dr. Tesfaye Demeke,Female,Existential Psychotherapy,['Oromo'],"['Thursday', 'Saturday', 'Friday', 'Tuesday', 'Wednesday']","['Video', 'Audio']",18,"['Panic Disorders', 'Stress', 'BPD']"
110,Dr. Lidya Eshetu,Male,Existential Psychotherapy,['Tigrinya'],"['Tuesday', 'Sunday', 'Monday', 'Saturday', 'Wednesday']","['Audio', 'Video']",15,"['Somatic Complaints', 'Self-Esteem Issues', 'Eating Disorders']"
111,Dr. Sisay Belachew,Female,Solution-Focused Brief Therapy (SFBT),['Tigrinya'],"['Wednesday', 'Tuesday', 'Saturday', 'Friday', 'Sunday']","['Video', 'Audio']",5,"['Depression', 'BPD', 'Self-Esteem Issues']"
112,Dr. Kidanemariam Alemu,Male,Adlerian Therapy,['Amharic'],"['Saturday', 'Sunday', 'Tuesday', 'Monday', 'Thursday']","['Audio', 'Video']",14,"['Grief and Loss', 'Depression', 'OCD']"
113,Dr. Dereje Tsegaye,Female,Acceptance and Commitment Therapy (ACT),['Oromo'],"['Friday', 'Sunday', 'Saturday', 'Thursday', 'Monday']","['Audio', 'Video']",11,"['Cultural Identity Stress', 'Family Conflict', 'BPD']"
114,Dr. Belaynesh Mekonnen,Female,Cognitive Behavioral Therapy (CBT),['Tigrinya'],"['Monday', 'Saturday', 'Wednesday', 'Sunday', 'Tuesday']","['Audio', 'Video']",14,"['Family Conflict', 'PTSD', 'Test Anxiety']"
115,Dr. Fikru Abebe,Male,Schema Therapy,['Amharic'],"['Friday', 'Thursday', 'Saturday', 'Tuesday', 'Wednesday']","['Video', 'Audio']",13,"['Generalized Anxiety Disorder (GAD)', 'BPD', 'Loneliness']"
116,Dr. Mahlet Worku,Male,Narrative Therapy,['Oromo'],"['Thursday', 'Sunday', 'Friday', 'Tuesday', 'Monday']","['Video', 'Audio']",16,"['Stress', 'Generalized Anxiety Disorder (GAD)', 'Somatic Complaints']"
117,Dr. Amanuel Desalegn,Male,Solution-Focused Brief Therapy (SFBT),['Amharic'],"['Sunday', 'Tuesday', 'Friday', 'Thursday', 'Wednesday']","['Audio', 'Video']",11,"['Family Conflict', 'Anxiety', 'Substance Use']"
118,Dr. Genet Berhanu,Male,Cognitive Therapy,['Oromo'],"['Sunday', 'Monday', 'Wednesday', 'Saturday', 'Tuesday']","['Video', 'Audio']",14,"['PTSD', 'Mood Disorders', 'Academic Burnout']"
